"행정구역","2021년11월_계_총인구수","2021년11월_계_연령구간인구수","2021년11월_계_0~9세","2021년11월_계_10~19세","2021년11월_계_20~29세","2021년11월_계_30~39세","2021년11월_계_40~49세","2021년11월_계_50~59세","2021년11월_계_60~69세","2021년11월_계_70~79세","2021년11월_계_80~89세","2021년11월_계_90~99세","2021년11월_계_100세 이상"
"서울특별시 도봉구 쌍문제3동(1132068000)","16,556","16,556","763","1,005","2,405","2,280","2,370","2,870","2,532","1,594","654","76","7"
"서울특별시 도봉구 쌍문제4동(1132068100)","18,684","18,684","1,136","1,946","2,427","2,242","2,829","3,364","2,888","1,152","599","98","3"
"서울특별시 도봉구 방학제1동(1132069000)","28,717","28,717","1,454","2,137","3,886","3,271","4,110","5,300","4,777","2,651","978","149","4"
"서울특별시 도봉구 방학제2동(1132070000)","19,703","19,703","834","1,413","2,572","2,126","2,702","3,730","3,446","1,916","858","102","4"
"서울특별시 도봉구 방학제3동(1132071000)","27,151","27,151","1,801","2,673","3,174","3,063","4,036","4,703","4,595","1,907","1,025","168","6"
"서울특별시 노원구 (1135000000)","511,275","511,275","30,670","50,547","70,267","63,104","81,827","87,015","70,613","37,252","17,323","2,565","92"
"서울특별시 노원구 월계1동(1135056000)","21,652","21,652","1,102","1,603","3,713","2,558","3,284","3,434","3,157","1,930","764","101","6"
"서울특별시 노원구 월계2동(1135057000)","26,665","26,665","1,592","2,012","3,091","3,089","4,071","4,528","4,495","2,514","1,085","182","6"
"서울특별시 노원구 월계3동(1135058000)","29,955","29,955","2,103","2,058","3,478","4,459","4,467","4,714","4,729","2,603","1,193","145","6"
"서울특별시 노원구 공릉1동(1135059500)","36,786","36,786","1,914","2,564","6,532","5,145","5,312","5,658","5,596","2,802","1,091","168","4"
"서울특별시 노원구 공릉2동(1135060000)","39,085","39,085","2,750","4,176","6,585","5,173","6,292","6,004","4,712","2,251","996","140","6"
"서울특별시 노원구 하계1동(1135061100)","26,642","26,642","1,064","2,935","4,381","2,676","3,966","4,931","3,723","1,842","985","135","4"
"서울특별시 노원구 하계2동(1135061200)","22,030","22,030","1,396","2,685","2,909","2,487","3,826","3,890","2,673","1,352","712","100","0"
"서울특별시 노원구 중계본동(1135061900)","24,059","24,059","1,436","4,436","3,063","1,788","4,782","4,570","2,316","1,042","549","73","4"
"서울특별시 노원구 중계1동(1135062100)","26,931","26,931","1,878","5,568","2,906","1,963","6,272","4,597","2,200","952","521","70","4"
"서울특별시 노원구 중계4동(1135062400)","19,976","19,976","1,078","2,163","2,462","1,893","3,320","3,586","2,674","1,859","803","135","3"
"서울특별시 노원구 중계2.3동(1135062500)","34,352","34,352","1,849","3,029","4,107","4,149","5,437","5,646","4,959","3,281","1,662","225","8"
"서울특별시 노원구 상계1동(1135063000)","38,231","38,231","2,128","3,243","5,089","4,745","5,508","6,905","6,203","2,905","1,298","197","10"
"서울특별시 노원구 상계2동(1135064000)","20,006","20,006","906","1,770","3,165","2,273","2,884","3,888","2,997","1,395","628","94","6"
"서울특별시 노원구 상계3.4동(1135066500)","26,212","26,212","1,320","1,988","3,105","2,832","3,728","4,685","4,454","2,702","1,259","135","4"
"서울특별시 노원구 상계5동(1135067000)","24,014","24,014","1,020","1,947","3,316","2,601","3,471","4,452","3,811","2,233","992","163","8"
